Gender,Married,Dependents,Education,Self_Employed,ApplicantIncomeIn10K,LoanAmountinK,Loan_Amount_Term_In_Years,Credit_History,Property_Area,Loan_Status
1,0,0,1,0,0.5849,0,1.0112359551,1,1,1
1,1,1,1,0,0.4583,0.128,1.0112359551,1,0,0
1,1,0,1,1,0.3,0.066,1.0112359551,1,1,1
1,1,0,0,0,0.2583,0.12,1.0112359551,1,1,1
1,0,0,1,0,0.6,0.141,1.0112359551,1,1,1
1,1,2,1,1,0.5417,0.267,1.0112359551,1,1,1
1,1,0,0,0,0.2333,0.095,1.0112359551,1,1,1
1,1,3,1,0,0.3036,0.158,1.0112359551,0,2,0
1,1,2,1,0,0.4006,0.168,1.0112359551,1,1,1
1,1,1,1,0,1.2841,0.349,1.0112359551,1,2,0
1,1,2,1,0,0.32,0.07,1.0112359551,1,1,1
1,1,2,1,0,0.25,0.109,1.0112359551,1,1,1
1,1,2,1,0,0.3073,0.2,1.0112359551,1,1,1
1,0,0,1,0,0.1853,0.114,1.0112359551,1,0,0
1,1,2,1,0,0.1299,0.017,0.3370786517,1,1,1
1,0,0,1,0,0.495,0.125,1.0112359551,1,1,1
1,0,1,0,0,0.3596,0.1,0.6741573034,0,1,1
0,0,0,1,0,0.351,0.076,1.0112359551,0,1,0
1,1,0,0,0,0.4887,0.133,1.0112359551,1,0,0
1,1,0,1,0,0.26,0.115,0,1,1,1
1,1,0,0,0,0.766,0.104,1.0112359551,0,1,0
1,1,1,1,0,0.5955,0.315,1.0112359551,1,1,1
1,1,0,0,0,0.26,0.116,1.0112359551,0,2,0
0,1,2,0,0,0.3365,0.112,1.0112359551,0,0,0
1,1,1,1,0,0.3717,0.151,1.0112359551,0,2,0
1,1,0,1,1,0.956,0.191,1.0112359551,1,2,1
1,1,0,1,0,0.2799,0.122,1.0112359551,1,2,1
1,1,2,0,0,0.4226,0.11,1.0112359551,1,1,1
1,0,0,0,0,0.1442,0.035,1.0112359551,1,1,0
0,0,2,1,0,0.375,0.12,1.0112359551,1,2,1
1,1,1,1,0,0.4166,0.201,1.0112359551,0,1,0
1,0,0,1,0,0.3167,0.074,1.0112359551,1,1,0
1,0,1,1,1,0.4692,0.106,1.0112359551,1,0,0
1,1,0,1,0,0.35,0.114,1.0112359551,1,2,1
1,0,3,1,0,1.25,0.32,1.0112359551,1,0,0
1,1,0,1,0,0.2275,0,1.0112359551,1,1,1
1,1,0,1,0,0.1828,0.1,0,0,1,0
0,1,0,1,0,0.3667,0.144,1.0112359551,1,2,1
1,0,0,1,0,0.4166,0.184,1.0112359551,1,1,1
1,0,0,0,0,0.3748,0.11,1.0112359551,1,2,1
1,0,0,1,0,0.36,0.08,1.0112359551,1,1,0
1,0,0,1,0,0.18,0.047,1.0112359551,1,1,1
1,1,0,1,0,0.24,0.075,1.0112359551,0,1,1
1,1,0,1,0,0.3941,0.134,1.0112359551,1,2,1
1,1,0,0,1,0.4695,0.096,0,1,1,1
0,0,0,1,0,0.341,0.088,0,1,1,1
1,1,1,1,0,0.5649,0.044,1.0112359551,1,1,1
1,1,0,1,0,0.5821,0.144,1.0112359551,1,1,1
0,1,0,1,0,0.2645,0.12,1.0112359551,0,1,0
0,0,0,1,0,0.4,0.144,1.0112359551,1,2,1
0,1,0,0,0,0.1928,0.1,1.0112359551,1,2,1
0,0,0,1,0,0.3086,0.12,1.0112359551,1,2,1
0,0,0,1,0,0.423,0.112,1.0112359551,1,2,0
1,1,2,1,0,0.4616,0.134,1.0112359551,1,1,0
0,1,1,1,1,1.15,0.286,1.0112359551,0,1,0
1,1,2,1,0,0.2708,0.097,1.0112359551,1,2,1
1,1,0,1,0,0.2132,0.096,1.0112359551,1,2,1
1,1,0,1,0,0.3366,0.135,1.0112359551,1,0,0
1,1,1,1,0,0.808,0.18,1.0112359551,1,1,1
1,1,2,0,0,0.3357,0.144,1.0112359551,1,1,1
1,1,0,1,0,0.25,0.12,1.0112359551,1,1,1
1,1,3,1,0,0.3029,0.099,1.0112359551,1,1,1
1,1,0,0,1,0.2609,0.165,0.5056179775,0,0,0
1,1,1,1,0,0.4945,0,1.0112359551,0,0,0
0,0,0,1,0,0.4166,0.116,1.0112359551,0,2,0
1,1,0,1,0,0.5726,0.258,1.0112359551,1,2,0
1,0,0,0,0,0.32,0.126,0.5056179775,0,1,0
1,1,1,1,0,1.075,0.312,1.0112359551,1,1,1
1,1,3,0,1,0.71,0.125,0.1685393258,1,1,1
0,0,0,1,0,0.43,0.136,1.0112359551,0,2,0
1,1,0,1,0,0.3208,0.172,1.0112359551,1,1,1
1,1,2,0,1,0.1875,0.097,1.0112359551,1,2,1
1,0,0,1,0,0.35,0.081,0.8426966292,1,2,1
1,1,3,0,0,0.4755,0.095,0,0,2,0
1,1,3,1,1,0.5266,0.187,1.0112359551,1,2,1
1,0,0,1,0,0.375,0.113,1.3483146067,1,1,0
1,0,0,1,0,0.375,0.176,1.0112359551,1,1,0
1,1,1,1,1,0.1,0.11,1.0112359551,1,1,0
1,1,3,1,0,0.3167,0.18,0.8426966292,0,2,0
1,1,3,0,1,0.3333,0.13,1.0112359551,0,2,1
0,0,0,1,0,0.3846,0.111,1.0112359551,1,2,1
1,1,1,1,1,0.2395,0,1.0112359551,1,2,1
0,1,2,1,0,0.1378,0.167,1.0112359551,1,1,0
1,1,0,1,0,0.6,0.265,1.0112359551,0,2,0
1,1,1,1,0,0.3988,0.05,0.6741573034,1,1,1
1,0,0,1,0,0.2366,0.136,1.0112359551,1,2,1
1,1,2,0,0,0.3333,0.099,1.0112359551,0,2,1
1,1,0,1,0,0.25,0.104,1.0112359551,1,2,1
1,0,0,1,0,0.8566,0.21,1.0112359551,1,1,1
1,1,0,1,0,0.5695,0.175,1.0112359551,1,2,1
1,1,0,1,0,0.2958,0.131,1.0112359551,1,2,1
1,1,2,1,0,0.625,0.188,0.5056179775,1,2,1
1,1,2,0,0,0.3273,0.081,1.0112359551,1,1,1
1,0,0,1,0,0.4133,0.122,1.0112359551,1,2,1
1,0,0,0,0,0.362,0.025,0.3370786517,1,2,1
1,0,0,1,0,0.6782,0,1.0112359551,0,1,0
0,1,0,1,0,0.2484,0.137,1.0112359551,1,2,1
1,1,0,1,0,0.1977,0.05,1.0112359551,1,2,1
1,1,0,0,0,0.4188,0.115,0.5056179775,1,2,1
1,1,0,1,0,0.1759,0.131,1.0112359551,1,2,1
1,1,2,0,0,0.4288,0.133,0.5056179775,1,1,1
1,0,0,1,0,0.4843,0.151,1.0112359551,1,2,1
1,1,0,1,0,1.365,0,1.0112359551,1,1,1
1,1,0,1,0,0.4652,0,1.0112359551,1,2,1
1,0,0,1,0,0.3816,0.16,1.0112359551,1,1,1
1,1,1,1,0,0.3052,0.1,1.0112359551,1,1,1
1,1,2,1,0,1.1417,0.225,1.0112359551,1,1,1
1,0,0,0,0,0.7333,0.12,1.0112359551,1,0,0
1,1,2,1,0,0.38,0.216,1.0112359551,0,1,0
1,1,3,0,0,0.2071,0.094,1.3483146067,1,2,1
1,0,0,1,0,0.5316,0.136,1.0112359551,1,1,1
0,1,0,1,0,0.2929,0.139,1.0112359551,1,2,1
1,1,0,0,0,0.3572,0.152,0,0,0,0
0,0,1,1,1,0.7451,0,1.0112359551,1,2,1
1,0,0,1,0,0.505,0.118,1.0112359551,1,2,1
1,1,1,1,0,1.4583,0.185,0.5056179775,1,0,1
0,1,0,1,0,0.3167,0.154,1.0112359551,1,2,1
1,1,1,1,0,0.2214,0.085,1.0112359551,0,1,1
1,1,0,1,0,0.5568,0.175,1.0112359551,1,0,0
0,0,0,1,0,1.0408,0.259,1.0112359551,1,1,1
1,1,0,1,0,0.5667,0.18,1.0112359551,1,0,1
0,0,0,1,0,0.4166,0.044,1.0112359551,1,2,1
0,0,0,1,0,0.2137,0.137,1.0112359551,0,2,1
1,1,2,1,0,0.2957,0.081,1.0112359551,1,2,1
1,1,0,0,0,0.43,0.194,1.0112359551,1,0,1
0,0,0,1,0,0.3692,0.093,1.0112359551,0,0,1
0,1,3,1,0,2.3803,0.37,1.0112359551,1,0,1
1,0,0,1,0,0.3865,0,1.0112359551,1,0,1
1,1,1,1,1,1.0513,0.16,0.5056179775,0,1,0
1,1,0,1,0,0.608,0.182,1.0112359551,0,0,0
1,0,0,1,1,2.0166,0.65,1.3483146067,0,1,1
1,0,0,1,0,0.2014,0.074,1.0112359551,1,1,1
1,0,0,1,0,0.2718,0.07,1.0112359551,1,2,1
1,1,0,1,1,0.3459,0.025,0.3370786517,1,2,1
1,0,0,1,0,0.4895,0.102,1.0112359551,1,2,1
1,1,3,1,0,0.4,0.29,1.0112359551,1,2,0
0,1,0,1,0,0.4583,0.084,1.0112359551,1,0,0
1,1,2,1,1,0.3316,0.088,1.0112359551,1,1,1
1,0,0,1,0,1.4999,0.242,1.0112359551,0,2,0
1,1,2,0,0,0.42,0.129,1.0112359551,1,0,0
1,1,2,1,0,0.5042,0.185,1.0112359551,1,0,0
1,0,0,1,0,0.5417,0.168,1.0112359551,1,1,1
1,0,0,1,1,0.695,0.175,0.5056179775,1,2,1
1,1,0,1,0,0.2698,0.122,1.0112359551,1,2,1
1,1,2,1,0,1.1757,0.187,0.5056179775,1,1,1
0,1,0,1,0,0.233,0.1,1.0112359551,1,2,1
0,1,2,1,0,1.4866,0.07,1.0112359551,1,1,1
1,1,1,1,0,0.1538,0.03,1.0112359551,1,1,1
0,0,0,1,0,1,0.225,1.0112359551,1,0,0
1,1,0,1,0,0.486,0.125,1.0112359551,1,2,1
1,0,0,1,0,0.6277,0.118,1.0112359551,0,0,0
1,1,0,1,1,0.2577,0.152,1.0112359551,1,0,1
1,0,0,1,0,0.9166,0.244,1.0112359551,1,1,0
1,1,2,0,0,0.2281,0.113,1.0112359551,1,0,0
1,0,0,1,0,0.3254,0.05,1.0112359551,1,1,1
1,1,3,1,0,3.9999,0.6,0.5056179775,0,2,1
1,1,1,1,0,0.6,0.16,1.0112359551,0,0,1
1,1,1,1,0,0.9538,0.187,1.0112359551,1,1,1
1,0,0,1,0,0.298,0.12,1.0112359551,1,0,1
1,1,0,1,0,0.4583,0.255,1.0112359551,1,2,1
1,1,0,0,0,0.1863,0.098,1.0112359551,1,2,1
1,1,0,1,0,0.7933,0.275,1.0112359551,1,1,0
1,1,1,1,0,0.3089,0.121,1.0112359551,0,2,0
1,1,2,1,0,0.4167,0.158,1.0112359551,1,0,1
1,1,0,1,0,0.9323,0.075,0.5056179775,1,1,1
1,1,0,1,0,0.3707,0.182,0,1,0,1
0,1,0,1,0,0.4583,0.112,1.0112359551,1,0,0
1,1,0,1,0,0.2439,0.129,1.0112359551,1,0,1
1,0,0,1,0,0.2237,0.063,1.3483146067,0,2,0
1,1,2,1,0,0.8,0.2,1.0112359551,1,2,1
1,1,0,0,0,0.182,0.095,1.0112359551,1,0,1
0,1,3,1,0,5.1763,0.7,0.8426966292,1,1,1
1,1,3,0,0,0.3522,0.081,0.5056179775,1,0,0
1,1,0,1,0,0.5708,0.187,1.0112359551,1,2,1
1,1,0,0,1,0.4344,0.087,1.0112359551,1,2,0
1,1,0,1,0,0.3497,0.116,1.0112359551,1,0,1
1,1,2,1,0,0.2045,0.101,1.0112359551,1,0,1
1,1,3,1,0,0.5516,0.495,1.0112359551,0,2,0
1,1,1,1,0,0.375,0.116,1.0112359551,1,2,1
1,0,0,0,0,0.2333,0.102,1.3483146067,0,1,0
1,1,1,1,0,0.64,0.18,1.0112359551,0,1,0
1,0,0,1,0,0.1916,0.067,1.0112359551,0,0,0
1,1,0,1,0,0.46,0.073,0.5056179775,1,2,1
1,1,1,1,0,3.3846,0.26,1.0112359551,1,2,0
0,1,0,1,0,0.3625,0.108,1.0112359551,1,2,1
1,1,0,1,1,3.9147,0.12,1.0112359551,1,2,1
1,1,1,1,1,0.2178,0.066,0.8426966292,0,0,0
1,1,0,1,0,0.2383,0.058,1.0112359551,0,0,1
0,1,0,1,1,0.0674,0.168,1.0112359551,1,0,1
1,1,0,1,0,0.9328,0.188,0.5056179775,1,0,1
1,0,0,0,0,0.4885,0.048,1.0112359551,1,0,1
1,0,0,1,0,1.2,0.164,1.0112359551,1,2,0
1,1,0,0,0,0.6033,0.16,1.0112359551,1,1,0
1,0,0,1,0,0.3858,0.076,1.0112359551,1,2,1
1,0,0,1,0,0.4191,0.12,1.0112359551,1,0,1
1,1,1,1,0,0.3125,0.17,1.0112359551,1,2,0
1,0,0,1,0,0.8333,0.187,1.0112359551,1,0,1
0,0,0,0,0,0.1907,0.12,0,1,1,1
0,1,0,1,0,0.3416,0.113,1.0112359551,0,2,1
1,0,0,1,1,1.1,0.083,1.0112359551,1,1,0
1,1,1,0,0,0.26,0.09,1.0112359551,1,2,1
1,0,2,1,0,0.4923,0.166,1.0112359551,0,2,1
1,1,3,0,0,0.3992,0,0.5056179775,1,1,0
1,1,1,0,0,0.35,0.135,1.0112359551,1,1,1
1,1,2,0,0,0.3917,0.124,1.0112359551,1,2,1
0,0,0,0,0,0.4408,0.12,1.0112359551,1,2,1
0,0,0,1,0,0.3244,0.08,1.0112359551,1,1,1
1,0,0,0,0,0.3975,0.055,1.0112359551,1,0,1
1,0,0,1,0,0.2479,0.059,1.0112359551,1,1,1
1,0,0,1,0,0.3418,0.127,1.0112359551,1,2,0
0,0,0,1,0,1,0.214,1.0112359551,1,2,0
1,1,3,1,0,0.343,0.128,1.0112359551,0,2,0
1,1,1,1,1,0.7787,0.24,1.0112359551,1,1,1
1,1,3,0,1,0.5703,0.13,1.0112359551,1,0,1
1,1,0,1,0,0.3173,0.137,1.0112359551,1,1,1
1,1,3,0,0,0.385,0.1,1.0112359551,1,2,1
1,1,0,1,0,0.015,0.135,1.0112359551,1,0,0
1,1,0,1,0,0.3727,0.131,1.0112359551,1,2,1
1,1,2,1,0,0.5,0.072,1.0112359551,0,2,0
0,1,2,1,0,0.4283,0.127,1.0112359551,0,2,1
1,1,0,1,0,0.2221,0.06,1.0112359551,0,1,0
1,1,2,1,0,0.4009,0.116,1.0112359551,1,2,1
1,0,0,1,0,0.2971,0.144,1.0112359551,1,2,1
1,1,0,1,0,0.7578,0.175,0,1,2,1
1,1,0,1,0,0.625,0.128,1.0112359551,1,2,1
1,1,0,1,0,0.325,0.17,1.0112359551,1,0,0
1,1,0,0,1,0.4735,0.138,1.0112359551,1,1,0
1,1,2,1,0,0.625,0.21,1.0112359551,1,2,1
1,0,0,1,0,0.4758,0.158,1.3483146067,1,2,1
1,0,0,1,1,0.64,0.2,1.0112359551,1,0,1
1,1,1,1,0,0.2491,0.104,1.0112359551,1,2,1
1,1,0,1,0,0.3716,0.042,0.5056179775,1,0,1
1,0,0,0,0,0.3189,0.12,0,1,0,1
0,0,0,1,0,0.8333,0.28,1.0112359551,1,2,1
1,1,1,1,0,0.3155,0.14,1.0112359551,1,2,1
1,1,1,1,0,0.55,0.17,1.0112359551,1,0,1
1,1,0,1,0,0.5746,0.255,1.0112359551,0,1,0
0,0,0,1,1,0.3463,0.122,1.0112359551,0,1,1
0,0,1,1,0,0.3812,0.112,1.0112359551,1,0,1
1,1,1,1,0,0.3315,0.096,1.0112359551,1,2,1
1,1,2,1,0,0.5819,0.12,1.0112359551,1,0,1
1,1,1,0,0,0.251,0.14,0.5056179775,1,1,0
1,0,0,1,0,0.2965,0.155,0.1685393258,1,1,1
1,1,2,1,1,0.625,0.108,1.0112359551,1,0,1
1,1,0,0,0,0.3406,0.123,1.0112359551,1,2,1
1,0,0,1,1,0.605,0.12,0.5056179775,1,1,0
1,1,2,1,0,0.9703,0.112,1.0112359551,1,1,1
1,1,1,0,0,0.6608,0.137,0.5056179775,1,1,1
1,1,1,1,0,0.2882,0.123,1.3483146067,1,2,1
1,1,0,1,0,0.1809,0.09,1.0112359551,1,1,1
1,1,0,0,0,0.1668,0.201,1.0112359551,0,2,0
0,0,2,1,0,0.3427,0.138,1.0112359551,1,1,0
1,0,0,0,1,0.2583,0.104,1.0112359551,1,0,1
1,1,1,0,0,0.2661,0.279,0.5056179775,1,2,1
1,0,0,1,1,1.625,0.192,1.0112359551,0,1,0
0,0,3,1,0,0.3083,0.255,1.0112359551,1,0,1
1,0,0,0,0,0.6045,0.115,1.0112359551,0,0,0
1,1,3,1,0,0.525,0.094,1.0112359551,1,1,0
1,1,0,1,0,1.4683,0.304,1.0112359551,1,0,0
1,1,3,0,0,0.4931,0.128,1.0112359551,0,2,0
1,1,1,1,0,0.6083,0.33,1.0112359551,0,1,1
1,0,0,1,0,0.206,0.134,1.0112359551,1,2,1
0,0,1,1,0,0.3481,0.155,0.1011235955,1,2,0
0,0,0,1,0,0.72,0.12,1.0112359551,1,0,1
1,0,0,1,1,0.5166,0.128,1.0112359551,1,2,1
1,0,0,1,0,0.4095,0.151,1.0112359551,1,0,1
1,1,2,1,0,0.4708,0.15,1.0112359551,1,2,1
1,1,3,1,0,0.4333,0.16,1.0112359551,0,1,1
0,0,0,1,0,0.3418,0.135,1.0112359551,1,0,0
0,0,1,1,0,0.2876,0.09,1.0112359551,1,1,1
0,0,0,1,0,0.3237,0.03,1.0112359551,1,1,1
1,1,0,1,0,1.1146,0.136,1.0112359551,1,1,1
1,0,0,1,0,0.2833,0.126,1.0112359551,1,0,1
1,1,0,1,0,0.262,0.15,1.0112359551,1,2,1
1,1,2,1,0,0.39,0.09,1.0112359551,1,2,1
1,1,1,1,0,0.275,0.115,1.0112359551,1,2,1
1,1,0,1,0,0.3993,0.207,1.0112359551,1,2,1
1,1,0,1,0,0.3103,0.08,1.0112359551,1,1,1
1,1,0,1,0,1.4583,0.436,1.0112359551,1,2,1
0,1,0,0,0,0.41,0.124,1.0112359551,0,0,1
1,0,1,0,1,0.4053,0.158,1.0112359551,0,1,0
1,1,0,1,0,0.3927,0.112,1.0112359551,1,2,1
1,1,2,1,0,0.2301,0.078,0.5056179775,1,1,1
0,0,0,1,0,0.1811,0.054,1.0112359551,1,1,1
1,1,0,1,0,2.0667,0,1.0112359551,1,0,0
1,0,0,1,0,0.3158,0.089,1.0112359551,1,0,1
0,0,0,1,1,0.26,0.099,0.8426966292,1,2,0
1,1,0,1,0,0.3704,0.12,1.0112359551,1,0,1
0,0,0,1,0,0.4124,0.115,1.0112359551,1,2,1
1,0,0,1,0,0.9508,0.187,1.0112359551,1,0,1
1,1,0,1,0,0.3075,0.139,1.0112359551,1,0,1
1,1,2,1,0,0.44,0.127,1.0112359551,0,2,0
1,1,2,1,0,0.3153,0.134,1.0112359551,1,1,1
0,0,0,1,0,0.5417,0.143,1.3483146067,0,1,0
1,1,0,1,0,0.2383,0.172,1.0112359551,1,2,1
1,1,3,1,0,0.4416,0.11,1.0112359551,1,1,1
1,1,1,1,0,0.6875,0.2,1.0112359551,1,2,1
0,1,1,1,0,0.4666,0.135,1.0112359551,1,1,1
0,0,0,1,0,0.5,0.151,1.3483146067,1,0,0
1,1,1,1,0,0.2014,0.113,1.0112359551,1,1,0
1,1,0,0,0,0.18,0.093,1.0112359551,0,1,0
1,1,0,0,0,0.2875,0.105,1.0112359551,1,2,1
0,0,0,1,0,0.5,0.132,1.0112359551,1,0,1
1,1,1,1,0,0.1625,0.096,1.0112359551,1,1,1
1,0,0,1,0,0.4,0.14,1.0112359551,1,0,1
1,0,0,0,0,0.2,0,1.0112359551,1,1,0
